epoch-cycle,critic-loss,actor-loss
0,31297.6816406,0.000245886825724
0,15646.9296875,-0.00405067997053
0,45.9877281189,-0.00494760926813
0,31294.4765625,-0.005485820584
0,15679.0585938,-0.00670767016709
0,27.4870891571,-0.00719615537673
0,15677.1767578,-0.00852748937905
0,15670.8261719,-0.0089110545814
0,31277.5566406,-0.00964085198939
0,15666.34375,-0.0107608474791
0,40.0285453796,-0.0119740236551
0,34.9803237915,-0.0121022388339
0,55.1687316895,-0.0130697097629
0,15656.2910156,-0.0139751434326
0,46.7048377991,-0.0142810605466
0,15659.7822266,-0.0155121348798
0,15654.8125,-0.0157182961702
0,15657.0830078,-0.0164494141936
0,15662.4033203,-0.0177312418818
0,31290.8671875,-0.0184654444456
0,44.215763092,-0.0197512432933
0,23.7682151794,-0.020485766232
0,62545.6992188,-0.0205158554018
0,15660.7158203,-0.0219969376922
0,15652.8574219,-0.0225202273577
0,15660.7714844,-0.0234246645123
0,76.2494659424,-0.0242943130434
0,15678.0205078,-0.0249589309096
0,31312.0214844,-0.0254208575934
0,33.3068199158,-0.025974560529
0,15668.0849609,-0.0273298509419
0,40.3045349121,-0.0285058282316
0,15663.8447266,-0.0286354534328
0,43.0795402527,-0.0289296414703
0,15655.9033203,-0.0299078002572
0,45.6464881897,-0.0309858433902
0,47.9150848389,-0.031852774322
0,32.7797889709,-0.0321400053799
0,41.9299545288,-0.0335345342755
0,15665.5566406,-0.0336400046945
0,45.0222434998,-0.0336909145117
0,47.4444198608,-0.0351563505828
0,31285.8203125,-0.0357920601964
0,40.2534332275,-0.0362404435873
0,31278.9375,-0.0372246205807
0,46915.8242188,-0.0371277779341
0,15652.4765625,-0.038410384208
0,36.1887969971,-0.0397986657917
0,15662.1435547,-0.0393537245691
0,31290.4863281,-0.0405886918306
1,15727.3417969,-0.0398427769542
1,113.808784485,-0.0404102317989
1,39.2881698608,-0.0421469137073
1,35.0069847107,-0.0428067781031
1,157.498825073,-0.0440873652697
1,15647.5302734,-0.04424764961
1,95.4606704712,-0.0453025996685
1,15711.1787109,-0.0466695204377
1,31288.8105469,-0.0466739684343
1,87.4903030396,-0.0479114428163
1,42.9663124084,-0.0493588410318
1,35.9498786926,-0.0493323765695
1,15677.9150391,-0.0493822842836
1,105.444404602,-0.0510854534805
1,33.6821708679,-0.0510865002871
1,22.4630718231,-0.0523951277137
1,25.1164226532,-0.0532885193825
1,15724.4228516,-0.0531095303595
1,95.7853240967,-0.0549675822258
1,15662.3779297,-0.0547245517373
1,103.372131348,-0.056394405663
1,169.78692627,-0.0563739538193
1,22.1933002472,-0.0574595704675
1,32.0320930481,-0.0583070665598
1,171.407119751,-0.0589962564409
1,33.2968330383,-0.0601938329637
1,40.2064476013,-0.0620239749551
